#{"t_start": 1759238067.693409, "env_id": "LunarLander-v3"}
r,l,t
-167.41513,79,0.090321
-174.22857,91,0.212892
-57.050964,65,0.277539
-78.368655,63,0.314357
-584.208955,135,0.589785
-228.726581,84,0.805923
-129.204785,101,0.908537
-406.046596,100,0.970851
-231.874163,92,1.032753
-88.21677,63,1.058154
-134.588093,104,1.207826
-409.928002,105,1.90761
-101.595619,67,2.122631
-159.97058,86,2.417985
-135.201196,85,2.695929
-207.266137,114,3.05724
-403.064118,89,3.172674
-340.072341,106,3.237011
-135.783987,68,3.253303
-316.584852,104,3.313213
-252.921491,94,3.336409
-112.586359,120,3.399591
-247.60012,96,3.435147
-88.362961,64,3.450234
-109.864488,88,3.485933
-127.41977,86,3.519795
-143.538435,88,3.56019
-118.626352,100,3.594967
-225.399483,109,3.631666
-161.768378,90,3.663639
-182.766173,95,3.697142
-327.761427,99,3.731193
-106.144915,116,3.776052
-89.854014,78,3.804605
-139.710232,82,3.834217
-217.372641,94,3.864065
-81.988713,65,3.917025
-186.377675,127,3.990388
-84.402139,84,4.057801
-290.154501,77,4.219759
-103.882157,59,4.270677
-69.879162,84,4.301555
-140.234214,86,4.408177
-128.403063,61,4.497472
-206.912401,75,4.577226
-119.220133,66,4.603317
-192.724835,79,4.70791
-442.830484,110,5.000056
-96.563928,77,5.280981
-297.425314,116,5.475977
-96.161816,79,5.551734
-101.340043,102,5.633468
-303.03809,98,5.724104
-91.617201,119,5.816867
-78.785131,81,5.880702
-122.888551,99,5.921812
-59.448174,137,5.972525
-172.786728,80,6.024097
-70.827591,72,6.103628
-69.086835,106,6.166345
-282.040887,106,6.284172
-85.309354,119,6.374708
-99.135969,100,6.47138
-120.28502,79,6.59114
-106.90318,77,6.660229
-127.476225,78,6.689527
-82.352225,80,6.755209
-204.454261,98,6.834302
-120.322849,76,7.03488
-99.694065,75,7.289208
-217.819937,85,7.420654
-57.836715,62,7.44854
-318.278275,79,7.512706
-116.781941,78,7.57556
-106.554426,90,7.636294
-128.82964,87,7.719431
-66.290698,75,7.780712
-105.663043,76,7.88717
-66.934008,83,7.922933
-120.257268,113,7.962888
-121.576606,102,8.002852
-107.439687,107,8.222874
-83.950223,100,8.340243
-212.883841,184,8.551864
-176.776156,106,8.617305
-414.194609,111,8.684045
-323.82696,100,8.759062
-195.815374,112,8.832412
-358.981195,113,8.912022
-521.345046,136,9.030462
-347.19318,124,9.106976
-203.220334,69,9.162815
-441.140768,159,9.289645
-348.563565,112,9.351004
-89.457707,89,9.384701
-443.085407,121,9.427053
-157.889918,115,9.480196
-257.122217,96,9.523304
-392.604834,138,9.570742
-317.907621,168,9.640777
-198.495913,110,9.679411
-191.879855,101,9.716917
-243.694848,126,9.761533
-175.520771,176,9.834135
-73.607344,133,9.881262
-335.313669,193,9.966387
-300.041019,207,10.054131
-294.205137,88,10.086259
-124.47249,115,10.128105
-275.005812,124,10.171693
-196.342525,125,10.232062
-224.690235,108,10.270166
-133.722496,131,10.343339
-85.315138,130,10.389462
-79.748529,152,10.463052
-228.417414,95,10.499153
-72.358818,140,10.548757
-170.335628,183,10.627612
-61.061442,222,10.731348
-204.352892,151,10.891412
-340.317399,210,10.978567
-188.402995,187,11.0539
-112.41083,161,11.110944
-661.249473,218,11.221776
-278.488605,119,11.264193
-271.52489,201,11.359038
-238.357711,293,11.515949
-376.461953,224,11.619434
-98.111748,149,11.674768
-127.493009,293,11.826863
-31.726289,297,11.98893
-220.917901,208,12.074216
-71.137017,159,12.144303
13.174348,1000,13.392713
-123.073729,131,13.440976
41.60359,117,13.483138
-58.067902,193,13.564165
12.363414,205,13.649454
-92.239755,205,13.740879
29.398273,254,13.869019
-122.636891,533,14.300941
-158.570248,263,14.432446
-163.769627,186,14.520414
-155.136416,312,14.732345
-22.549304,257,14.864796
24.259028,178,14.928933
-34.35365,292,15.094419
-100.796979,195,15.186608
99.112252,1000,16.597177
71.860622,1000,17.979315
-43.827855,350,18.170027
-274.244552,247,18.285503
-241.52923,414,18.935825
-14.281403,266,19.181775
-98.92802,313,19.527796
-201.475704,526,20.306578
-407.483127,318,20.635876
-112.944245,604,21.251758
-119.607219,233,21.364118
-319.471756,258,21.491962
-305.889818,338,21.685988
14.796982,1000,22.827189
-77.833783,417,23.083834
-37.091102,1000,24.041736
-97.556007,1000,25.024336
-74.218162,1000,26.166442
23.654274,311,26.362542
-31.591153,274,26.498864
-95.432492,294,26.674221
-214.87713,188,26.75582
102.689313,937,27.942151
264.17013,846,29.006924
7.205868,231,29.187118
-7.908134,251,29.402504
-59.423096,445,30.224079
-150.78685,1000,32.132919
3.432653,247,32.255258
-136.328297,1000,34.067779
202.723,674,34.755213
-98.036091,617,35.321165
136.52853,818,36.743566
-445.132823,674,37.573742
-218.379136,1000,39.363724
-87.661225,1000,40.827822
-113.432902,1000,42.138177
-134.401197,1000,43.7482
-24.546964,1000,45.199844
-52.426107,1000,47.988995
-110.381596,1000,49.998991
-60.026031,1000,53.732687
-43.155774,1000,56.433341
-12.874156,1000,59.175408
-45.161513,1000,61.747498
-6.276789,1000,63.817712
-0.134534,1000,66.263164
139.060848,909,67.761843
8.4039,1000,69.869824
